Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
21;1;ECONOMIZE - MAYCON;7896112102908;DIOSMINA+HESP VENAFLON 900+100MG C/30CPR;TEUTO;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7177717391304349;0.0;79.9;26.0;4093.26;72.81;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
22;1;ECONOMIZE - MAYCON;7908738902982;*SEAME MAGNESIO DIMALATO 60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7012499999999999;0.0;80.0;56.0;2949.8;72.8;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
23;1;ECONOMIZE - MAYCON;7893454100630;CETOC+BETAM+NEO-CETOBETA CR DERM 30G(DEL);DELTA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.761508387645471;0.0;28.0;61.0;2669.46;72.67;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
24;1;ECONOMIZE - MAYCON;7896004738727;NIMESULIDA-NIMESILAM C 12 CP;MULTILAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.9049538168914888;0.0;16.64;82.0;2362.87;72.56;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
25;1;ECONOMIZE - MAYCON;7896004791418;DAPAGLIFLOZINA 10 MG C/30 CPRS;EMS GENERICO;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.66226204002711;0.0;99.0;27.0;3237.24;72.49;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
26;1;ECONOMIZE - MAYCON;7896672202681;CLENIL A C/ 10 FLAC 2 ML;CHIESI FARMACEUTICA LTDA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2452921746935697;0.0;46.61;33.0;2750.96;72.45;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
27;1;ECONOMIZE - MAYCON;7896004812168;EXPEC XPE FR 120ML;LEGRAND;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.4570717886974189;0.0;23.9;40.0;2499.21;72.35;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
28;1;ECONOMIZE - MAYCON;7896004714578;NARIDRIN 12 HS GTS 30 ML;EMS;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.6968744789744716;0.0;6.99;86.0;2115.42;72.29;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
29;1;ECONOMIZE - MAYCON;7891317017392;SERTRALINA 100MG C/30 CPR(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8297419702960662;0.0;80.0;15.0;5122.68;72.19;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
30;1;ECONOMIZE - MAYCON;7896472513307;IBUPROFENO-BUPROVIL 600MG C/20 CPR;MULTILAB;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8383258766497245;0.0;21.0;52.0;2242.33;72.15;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
